ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
8279,PASSERIFORMES,Timaliidae,"Tree-Babblers, Scimitar-Babblers, and Allies",Rufous-fronted Babbler,Cyanoderma rufifrons,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,698",0,0,,,,
3338,BUCEROTIFORMES,Bucerotidae,Hornbills,Wreathed Hornbill,Rhyticeros undulatus,VU,,,8/12/2026,MY-06,,,,"18,727",0,0,"northeastern India to southwestern China, southeastern Asia, and Greater Sundas",,,
6947,PASSERIFORMES,Corvidae,"Crows, Jays, and Magpies",Azure-hooded Jay,Cyanolyca cucullata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,693",0,0,,,,
5477,PASSERIFORMES,Tyrannidae,Tyrant Flycatchers,Drab-breasted Pygmy-Tyrant,Hemitriccus diops,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,691",0,0,southeastern Brazil (southeastern Bahia) to eastern Paraguay and northeastern Argentina,,,
2913,ACCIPITRIFORMES,Accipitridae,"Hawks, Eagles, and Kites",Rufous-winged Buzzard,Butastur liventer,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,689",0,0,"savanna and woodland of southeastern Asia, Java, and Sulawesi",,,
1584,APODIFORMES,Trochilidae,Hummingbirds,Purple-collared Woodstar,Myrtis fanny,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,678",0,0,,,,
3610,PICIFORMES,Lybiidae,African Barbets,Yellow-throated Tinkerbird,Pogoniulus subsulphureus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,671",0,0,,,,
5339,PASSERIFORMES,Cotingidae,Cotingas,Blue Cotinga,Cotinga nattererii,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,647",0,0,"central Panama to Colombia, northwestern Ecuador, and western Venezuela",,,
2387,PROCELLARIIFORMES,Diomedeidae,Albatrosses,Gray-headed Albatross,Thalassarche chrysostoma,EN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,645",0,0,breeds circumpolar high southern latitudes; ranges southern oceans mostly south of South Polar Front,,,
6191,PASSERIFORMES,Pomatostomidae,Pseudo-Babblers,Chestnut-crowned Babbler,Pomatostomus ruficeps,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,644",0,0,southeastern central Australia (Flinders Ranges to southwestern Queensland and northwestern Victoria),,,
7171,PASSERIFORMES,Paridae,"Tits, Chickadees, and Titmice",Elegant Tit,Periparus elegans,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,636",0,0,,,,
